Author,Comment,Likes,Replies,Date
"@surendra7941","Desh Hunu Paryo Nii Ramro Ghar Family palna Laghi Tw risk uthaunu Paryo Tw Tmy Jasto chair ma Basey Rw bhuknu Tw bhayana Nii Aani America Jasto Powerful Country Jana risky Tw Bhaihalxa Nii risk na Leunay Bhya Tw India Gaya Bhyo Tw.   Chair Ma Basey Rw Dherrai nabhukha Bro family lie palna Laghi Rw Aauney generation Aafno Ramro Thau ma Bitos Teni Haru ko life Bhaney Rw Hoo risk leya Rw illegally Janey Tmy Jasto chair ma Basey Rw bhuknu Bhanda Tehi risk leya Rw illegally Janey Thik Xa",0,0,10/31/2022
"@arjunrb1651","Wow just amazing eye opening video",0,0,10/31/2022
"@millionaire_rai","Illegal stuffs lai promo grnu hunna hai",0,0,10/31/2022
"@bhisansanjayal9205","Katti xan xan",0,0,10/31/2022
"@sumanesmali5719","Thumbs up for the video",0,0,10/31/2022
"@anekgurung8168","Truth is hard 😢 please don’t travel illegally ❤",4,0,10/31/2022
"@cobwebofficial5817","great job The Nepali comment and Dipesh... Hats Off.",0,0,10/31/2022
"@pramodbhandari3239","dai i just respect your intelligence and your commitment on research!<br>i want to spend 15 minutes on a table talk while i come back to Nepal!<br>i will try my best to make it possible!Hats off!Keep up the good work and!<br>Best Regards<br>Your biggest follower",2,0,10/30/2022
"@Formerpresident","One of my moms relative now lives in USA. He did this and now he is working in a restaurant.",2,0,10/30/2022
"@ishanb.pradhan380","Except under some circumstances, Illegally traveling is a choice for people like Nepalese and whatever happens to them , they deserve it.",0,0,10/30/2022
"@pandavlog9769","Dai every 7 day ma vedio dinuna kamse kam vadi ma day by bay",0,0,10/30/2022
"@batti1322","Ek janna le 15 20 lakh garna hune tara Nepal ma tai paisaa le kehi business garxu vanne aatt naaune!! Hait toit",0,0,10/30/2022
"@nikhilkoirala1403","yedi 20 lakh chha bhane ta nepal mai base bhai goni kina janu bidesh.",0,0,10/30/2022
"@abiralsamratbasnet546","nepal ko middle class uppeer class ko video banau nu pario data nai chaina how much they earn",0,0,10/30/2022
"@bijaybardankarki7629","❤",0,0,10/30/2022
"@kids0011-v5m","Road to 100k ^.^♥♥",1,0,10/30/2022
"@himalkumar3535","correction.. they will not get even min wages .. that all depend on employer .. they will get more less then legal minimum wages.. Good Job",0,0,10/30/2022
"@doslergang2972","Sir , it was the great knwoledge  and hats off for your work research 🙌",0,0,10/30/2022
"@rosneeb5138","such a good content<br>you got a new subscriber:)",1,0,10/30/2022
"@unuslovesubba2852","If want go america when i got visa not just some ****alien way",0,0,10/30/2022
"@ajeshbhandari8052","Mero neighbour pani yesari pani america nai pugyoo<br>Pokhara ma dherai jana yesari nai gairaxan",0,0,10/30/2022
"@foxvlog8250","I seen 15to20 people in Dubai they pey agent per person 50lakh Nepali Rs to going America though this way foolish people",1,0,10/30/2022
"@soltimahesh","Please provide cc asap. Much required! Btw Great video as always❤",1,0,10/30/2022
"@heraldd161","It’s most important news you displayed",1,0,10/30/2022
"@raphaellejoriot8527","Thank you very much for this much needed video. It would be Intretesting to also talk about all the people involved in Nepal in taking the money of these people who are risking their lives  . People at every level are taking part in profiting in this human trafficking . You  missed  the tragic point about how many of them once they reach the destination are kept in rooms by the human traffickers until the family in Nepal pay the Lakhs owed. And how a many of them are used as black money mules !",5,0,10/30/2022
"@Pratap5680","Nice bhai",0,0,10/30/2022
"@ganeshpokhrel2145","Really salute to this guy, his determination, research is very much useful to all of the Nepalese audience. I will say we should support such researcher.",7,0,10/30/2022
"@anamak2000","हामी सब मिलेर नेपाल लाईनै युरोप अमेरिका जापान भन्दा राम्रो देश बनाम । युथहरूको राजनितिमा वास्ता नगरेर हो कमिले गर्दा हो । हाम्रो देश बिग्रेको । वुडापाखा र जडिया गजडे गुन्डाहरू , पैसा वालाको कब्जा मा छ देश , न्ययको आवाज उठउनेको सङ्ख्या ५-६ जना मात्रछन त्यसमापनि उनिहरू जनतामा चर्चित भएभनि टिप्पर ले टउकोमा किचेर मारिछन ।",1,0,10/30/2022
"@allofme3359","now thats a content. keep up the good work",1,0,10/30/2022
"@gauravpoudel7288","Lovely info. Keep it up bro",0,0,10/30/2022
"@kaeyana8541","This video was so disturbing to watch just had to stop the video at so many points.",1,0,10/30/2022
"@diwakarlama9584","Laane agents pani ta hamrai nepali chor haru ta ho",1,0,10/30/2022
"@somrajdhungana","Thanks दिपेश सर लाइ यति धेरै मेहनत गरेर यो भिडियो बनाउनु भएकोमा 🙏🙏😍",0,0,10/30/2022
"@sanjitkhanal12345","So sad that we nepali have to take such step risking life for better future <br>Just because of our country politicians<br>This time choose leader wisely",0,0,10/30/2022
"@abhijitlamsal","You are amazing brother . love your videos.",0,0,10/30/2022
